SHITOMASI + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Keypoints, 95,93,98,98,99,90,92,101,95,
Matches, 95,95,93,98,98,99,90,92,101,


BRISK + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 163.187849,162.463974,162.988151,164.305186,163.821366,161.974962,161.869068,162.861519,164.059071,
Description Time, 0.451025,0.487579,0.500439,0.516763,0.511608,0.531000,0.517094,0.452845,0.443533,
Keypoints, 274,276,275,293,275,289,268,260,250,
Matches, 254,274,276,275,293,275,289,268,260,


BRISK + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 162.190604,161.937207,160.090384,167.049462,159.945897,162.428265,160.025267,160.582058,160.935357,
Description Time, 0.417430,0.485835,0.455848,0.478617,0.465329,0.469774,0.529443,0.437479,0.378486,
Keypoints, 274,276,275,293,275,289,268,260,250,
Matches, 254,274,276,275,293,275,289,268,260,


BRISK + ORB
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 162.167472,163.129522,163.915782,165.438808,161.192093,163.104569,164.577179,163.314848,161.477545,
Description Time, 0.411547,0.436955,0.442715,0.470283,0.470449,0.461309,0.482476,0.445270,0.395859,
Keypoints, 274,276,275,293,275,289,268,260,250,
Matches, 254,274,276,275,293,275,289,268,260,


BRISK + FREAK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 167.107913,164.636843,166.114750,166.409683,166.776203,163.526664,166.591875,164.798744,164.082710,
Description Time, 0.403899,0.436632,0.476814,0.471813,0.451960,0.447263,0.451747,0.442889,0.388014,
Keypoints, 274,276,275,293,275,289,268,260,250,
Matches, 234,252,257,262,270,252,269,251,237,


BRISK + SIFT
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 180.128635,183.457902,182.765045,183.064997,182.160377,179.786339,184.525710,183.162097,180.966369,
Description Time, 4.623354,4.630130,4.823668,5.061503,4.957149,4.913646,4.823988,4.634188,4.383549,
Keypoints, 274,276,275,293,275,289,268,260,250,
Matches, 254,274,276,275,293,275,289,268,260,


ORB + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 5.516502,5.482818,5.408288,5.431387,5.448185,5.570038,5.472969,5.657927,5.677083,
Description Time, 0.158400,0.148638,0.169459,0.167507,0.173936,0.181839,0.188074,0.198261,0.209351,
Keypoints, 102,106,113,109,124,129,127,124,125,
Matches, 82,93,95,103,101,115,119,118,116,


ORB + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 5.440740,5.441274,5.421912,5.704117,5.492427,5.516339,5.519031,5.533514,6.641851,
Description Time, 0.153901,0.149134,0.155046,0.199691,0.173384,0.189627,0.193451,0.178861,0.203682,
Keypoints, 102,106,113,109,124,129,127,124,125,
Matches, 91,102,106,113,109,124,129,127,124,


ORB + ORB
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 5.484800,5.454489,5.671960,5.520801,5.465850,5.732864,5.458500,5.616215,5.937298,
Description Time, 0.151252,0.183013,0.163243,0.206187,0.209948,0.190985,0.214348,0.188026,0.169310,
Keypoints, 102,106,113,109,124,129,127,124,125,
Matches, 91,102,106,113,109,124,129,127,124,


ORB + FREAK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 5.517906,5.679032,6.229164,5.446643,5.551371,5.591918,5.521912,5.684501,5.997163,
Description Time, 0.117978,0.117288,0.138806,0.130370,0.127576,0.169401,0.158318,0.135268,0.132907,
Keypoints, 102,106,113,109,124,129,127,124,125,
Matches, 45,53,56,65,55,64,66,70,71,


ORB + SIFT
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 5.526631,5.550258,5.507260,5.544902,5.513080,5.555991,5.481429,5.634037,5.638290,
Description Time, 1.769188,1.647633,1.807888,1.788637,1.971295,2.122289,2.031594,2.122872,2.054705,
Keypoints, 102,106,113,109,124,129,127,124,125,
Matches, 91,102,106,113,109,124,129,127,124,


AKAZE + BRISK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 57.274061,56.973261,57.416131,59.189051,55.772483,59.233744,57.562909,56.006894,55.034341,
Description Time, 0.248535,0.250461,0.246642,0.248243,0.266171,0.262491,0.295332,0.295643,0.275528,
Keypoints, 157,159,154,162,163,173,175,175,175,
Matches, 162,157,159,154,162,163,173,175,175,


AKAZE + BRIEF
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 56.290162,51.885574,54.974058,53.448974,51.050668,53.072401,54.379882,54.537311,56.455908,
Description Time, 0.224400,0.205562,0.233390,0.208688,0.212807,0.255975,0.259606,0.270915,0.266858,
Keypoints, 157,159,154,162,163,173,175,175,175,
Matches, 162,157,159,154,162,163,173,175,175,


AKAZE + ORB
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 52.653646,59.827179,53.901945,52.958001,55.625831,56.155965,54.307615,56.083522,55.138069,
Description Time, 0.224941,0.207229,0.241568,0.203218,0.230800,0.249028,0.329199,0.332780,0.259099,
Keypoints, 157,159,154,162,163,173,175,175,175,
Matches, 162,157,159,154,162,163,173,175,175,


AKAZE + FREAK
 , Image 1, Image 2, Image 3, Image 4, Image 5, Image 6, Image 7, Image 8, Image 9.
Detection Time, 56.730529,57.215143,58.156453,57.675290,56.019340,54.678148,59.608677,56.781569,59.145341,
